CWE-ID,Name,Primary Functional Area,Secondary Functional Area,CWE Category,CWE Category ID
1037,Processor Optimization Removal or Modification of Security-critical Code,API and Functionality Management,Expression Issues,Expression Issues,569
1043,Data Element Aggregating an Excessively Large Number of Non-Primitive Elements,Data Management and Integrity,Data Processing,Data Processing Errors,19
1049,Excessive Data Query Operations in a Large Data Table,Data Management and Integrity,Data Processing,Data Processing Errors,19
1050,Excessive Platform Resource Consumption within a Loop,Concurrency and Resource Management,Resource Management,Resource Management Errors,399
1058,Invokable Control Element in Multi-Thread Context with non-Final Static Storable or Member Element,Concurrency and Resource Management,MultiThreading/Concurrency,Concurrency Issues,557
1066,Missing Serialization Control Element,Data Management and Integrity,Data Processing,Data Processing Errors,19
1067,Excessive Execution of Sequential Searches of Data Resource,Data Management and Integrity,Data Processing,Data Processing Errors,19
1072,Data Resource Access without Use of Connection Pooling,Data Management and Integrity,Data Processing,Data Processing Errors,19
1073,Non-SQL Invokable Control Element with Excessive Number of Data Resource Accesses,Data Management and Integrity,Data Processing,Data Processing Errors,19
1084,Invokable Control Element with Excessive File or Data Access Operations,API and Functionality Management,Data / Function Handling,API / Function Errors,1228
1094,Excessive Index Range Scan for a Data Resource,Data Management and Integrity,Data Processing,Data Processing Errors,19
1101,Reliance on Runtime Component in Generated Code,API and Functionality Management,Data / Function Handling,API / Function Errors,1228
1102,Reliance on Machine-Dependent Data Representation,Data Management and Integrity,Data Processing,Data Processing Errors,19
112,Missing XML Validation,Data Management and Integrity,Data Processing,Data Processing Errors,19
1123,Excessive Use of Self-Modifying Code,API and Functionality Management,Expression Issues,Expression Issues,569
1125,Excessive Attack Surface,Security and Access Control,Authorization,Authorization Errors,1212
115,Misinterpretation of Input,Data Management and Integrity,Data Validation,Data Validation Issues,1215
117,Improper Output Neutralization for Logs,Data Management and Integrity,Data Neutralization,Data Neutralization Issues,137
1173,Improper Use of Validation Framework,Data Management and Integrity,Data Validation,Data Validation Issues,1215
1188,Initialization of a Resource with an Insecure Default,API and Functionality Management,Initialization and Cleanup,Initialization and Cleanup Errors,452
120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),Concurrency and Resource Management,Memory Buffer Management,Memory Buffer Errors,1218
1204,Generation of Weak Initialization Vector (IV),Cryptography and Key Management,Cryptographic Handling,Cryptographic Issues,310
1220,Insufficient Granularity of Access Control,Security and Access Control,Authorization,Authorization Errors,1212
1230,Exposure of Sensitive Information Through Metadata,Security and Access Control,Sensitive Information Management,Information Management Errors,199
1236,Improper Neutralization of Formula Elements in a CSV File,Data Management and Integrity,Data Neutralization,Data Neutralization Issues,137
124,Buffer Underwrite ('Buffer Underflow'),Concurrency and Resource Management,Memory Buffer Management,Memory Buffer Errors,1218
1240,Use of a Cryptographic Primitive with a Risky Implementation,Cryptography and Key Management,Cryptographic Handling,Cryptographic Issues,310
1241,Use of Predictable Algorithm in Random Number Generator,Cryptography and Key Management,Random Number Management,Random Number Issues,1213
125,Out-of-bounds Read,Concurrency and Resource Management,Memory Buffer Management,Memory Buffer Errors,1218
1265,Unintended Reentrant Invocation of Non-reentrant Code Via Nested Calls,Concurrency and Resource Management,MultiThreading/Concurrency,Concurrency Issues,557
128,Wrap-around Error,Numeric and Mathematical Handling,Arithmetic Operations,Numeric Errors,189
1289,Improper Validation of Unsafe Equivalence in Input,Data Management and Integrity,Data Validation,Data Validation Issues,1215
130,Improper Handling of Length Parameter Inconsistency,Data Management and Integrity,Data Processing,Data Processing Errors,19
131,Incorrect Calculation of Buffer Size,Concurrency and Resource Management,Memory Buffer Management,Memory Buffer Errors,1218
1322,"Use of Blocking Code in Single-threaded, Non-blocking Context",Concurrency and Resource Management,MultiThreading/Concurrency,Concurrency Issues,557
1327,Binding to an Unrestricted IP Address,Security and Access Control,Authorization,Authorization Errors,1212
1335,Incorrect Bitwise Shift of Integer,Numeric and Mathematical Handling,Arithmetic Operations,Numeric Errors,189
134,Use of Externally-Controlled Format String,Data Management and Integrity,Data Neutralization,Data Neutralization Issues,137
1341,Multiple Releases of Same Resource or Handle,Concurrency and Resource Management,Resource Management,Resource Management Errors,399
1389,Incorrect Parsing of Numbers with Different Radices,Data Management and Integrity,Data Validation,Data Validation Issues,1215
1392,Use of Default Credentials,Security and Access Control,Credentials Management,Credentials Management Errors,255
140,Improper Neutralization of Delimiters,Data Management and Integrity,Data Neutralization,Data Neutralization Issues,137
15,External Control of System or Configuration Setting,Security and Access Control,Configuration Management,Information Management Errors,199
166,Improper Handling of Missing Special Element,Data Management and Integrity,Data Validation,Data Validation Issues,1215
167,Improper Handling of Additional Special Element,Data Management and Integrity,Data Validation,Data Validation Issues,1215
168,Improper Handling of Inconsistent Special Elements,Data Management and Integrity,Data Validation,Data Validation Issues,1215
170,Improper Null Termination,Data Management and Integrity,String Handling,String Errors,133
178,Improper Handling of Case Sensitivity,Data Management and Integrity,Data Validation,Data Validation Issues,1215
179,Incorrect Behavior Order: Early Validation,Data Management and Integrity,Data Validation,Data Validation Issues,1215
182,Collapse of Data into Unsafe Value,Data Management and Integrity,Data Processing,Data Processing Errors,19
190,Integer Overflow or Wraparound,Numeric and Mathematical Handling,Arithmetic Operations,Numeric Errors,189
191,Integer Underflow (Wrap or Wraparound),Numeric and Mathematical Handling,Arithmetic Operations,Numeric Errors,189
193,Off-by-one Error,API and Functionality Management,Type Handling,Type Errors,136
201,Insertion of Sensitive Information Into Sent Data,Security and Access Control,Sensitive Information Management,Information Management Errors,199
204,Observable Response Discrepancy,Security and Access Control,User Interface Security,User Interface Security Issues,355
208,Observable Timing Discrepancy,Communication and Networking,MultiThreading/Concurrency,Communication Channel Errors,417
209,Generation of Error Message Containing Sensitive Information,Security and Access Control,Sensitive Information Management,Information Management Errors,199
212,Improper Removal of Sensitive Information Before Storage or Transfer,Security and Access Control,Sensitive Information Management,Information Management Errors,199
213,Exposure of Sensitive Information Due to Incompatible Policies,Security and Access Control,Sensitive Information Management,Information Management Errors,199
214,Invocation of Process Using Visible Sensitive Information,Security and Access Control,Sensitive Information Management,Information Management Errors,199
215,Insertion of Sensitive Information Into Debugging Code,Security and Access Control,Sensitive Information Management,Information Management Errors,199
22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),Data Management and Integrity,File Handling,File Handling Issues,1219
222,Truncation of Security-relevant Information,Security and Access Control,Sensitive Information Management,Information Management Errors,199
224,Obscured Security-relevant Information by Alternate Name,Security and Access Control,Authorization,Authorization Errors,1212
229,Improper Handling of Values,Data Management and Integrity,Data Validation,Data Validation Issues,1215
233,Improper Handling of Parameters,Data Management and Integrity,Data Validation,Data Validation Issues,1215
237,Improper Handling of Structural Elements,Data Management and Integrity,Data Processing,Data Processing Errors,19
241,Improper Handling of Unexpected Data Type,API and Functionality Management,Type Handling,Type Errors,136
242,Use of Inherently Dangerous Function,API and Functionality Management,Data / Function Handling,API / Function Errors,1228
243,Creation of chroot Jail Without Changing Working Directory,Security and Access Control,Authorization,Authorization Errors,1212
250,Execution with Unnecessary Privileges,Security and Access Control,Privilege Management,Privilege Issues,265
256,Plaintext Storage of a Password,Security and Access Control,Credentials Management,Credentials Management Errors,255
257,Storing Passwords in a Recoverable Format,Security and Access Control,Credentials Management,Credentials Management Errors,255
260,Password in Configuration File,Security and Access Control,Credentials Management,Credentials Management Errors,255
261,Weak Encoding for Password,Security and Access Control,Credentials Management,Credentials Management Errors,255
262,Not Using Password Aging,Security and Access Control,Credentials Management,Credentials Management Errors,255
263,Password Aging with Long Expiration,Security and Access Control,Credentials Management,Credentials Management Errors,255
266,Incorrect Privilege Assignment,Security and Access Control,Privilege Management,Privilege Issues,265
267,Privilege Defined With Unsafe Actions,Security and Access Control,Privilege Management,Privilege Issues,265
268,Privilege Chaining,Security and Access Control,Privilege Management,Privilege Issues,265
270,Privilege Context Switching Error,Security and Access Control,Privilege Management,Privilege Issues,265
272,Least Privilege Violation,Security and Access Control,Privilege Management,Privilege Issues,265
273,Improper Check for Dropped Privileges,Security and Access Control,Privilege Management,Privilege Issues,265
274,Improper Handling of Insufficient Privileges,Security and Access Control,Privilege Management,Privilege Issues,265
276,Incorrect Default Permissions,Security and Access Control,Privilege Management,Privilege Issues,265
277,Insecure Inherited Permissions,Security and Access Control,Privilege Management,Privilege Issues,265
278,Insecure Preserved Inherited Permissions,Security and Access Control,Privilege Management,Privilege Issues,265
279,Incorrect Execution-Assigned Permissions,Security and Access Control,Privilege Management,Privilege Issues,265
280,Improper Handling of Insufficient Permissions or Privileges,Security and Access Control,Privilege Management,Privilege Issues,265
281,Improper Preservation of Permissions,Security and Access Control,Privilege Management,Privilege Issues,265
283,Unverified Ownership,Security and Access Control,Authorization,Authorization Errors,1212
289,Authentication Bypass by Alternate Name,Security and Access Control,Authentication,Authentication Errors,1211
290,Authentication Bypass by Spoofing,Security and Access Control,Authentication,Authentication Errors,1211
294,Authentication Bypass by Capture-replay,Security and Access Control,Authentication,Authentication Errors,1211
295,Improper Certificate Validation,Security and Access Control,Authentication,Authentication Errors,1211
301,Reflection Attack in an Authentication Protocol,Security and Access Control,Authentication,Authentication Errors,1211
303,Incorrect Implementation of Authentication Algorithm,Security and Access Control,Authentication,Authentication Errors,1211
305,Authentication Bypass by Primary Weakness,Security and Access Control,Authentication,Authentication Errors,1211
306,Missing Authentication for Critical Function,Security and Access Control,Authentication,Authentication Errors,1211
307,Improper Restriction of Excessive Authentication Attempts,Security and Access Control,Authentication,Authentication Errors,1211
308,Use of Single-factor Authentication,Security and Access Control,Authentication,Authentication Errors,1211
309,Use of Password System for Primary Authentication,Security and Access Control,Authentication,Authentication Errors,1211
312,Cleartext Storage of Sensitive Information,Security and Access Control,Cryptographic Handling,Cryptographic Issues,310
319,Cleartext Transmission of Sensitive Information,Security and Access Control,Cryptographic Handling,Cryptographic Issues,310
322,Key Exchange without Entity Authentication,Cryptography and Key Management,Cryptographic Handling,Cryptographic Issues,310
323,"Reusing a Nonce, Key Pair in Encryption",Cryptography and Key Management,Cryptographic Handling,Cryptographic Issues,310
324,Use of a Key Past its Expiration Date,Cryptography and Key Management,Key Management,Key Management Errors,320
325,Missing Cryptographic Step,Cryptography and Key Management,Cryptographic Handling,Cryptographic Issues,310
328,Use of Weak Hash,Cryptography and Key Management,Cryptographic Handling,Cryptographic Issues,310
331,Insufficient Entropy,Cryptography and Key Management,Cryptographic Handling,Cryptographic Issues,310
334,Small Space of Random Values,Cryptography and Key Management,Random Number Management,Random Number Issues,1213
335,Incorrect Usage of Seeds in Pseudo-Random Number Generator (PRNG),Cryptography and Key Management,Random Number Management,Random Number Issues,1213
338,Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG),Cryptography and Key Management,Random Number Management,Random Number Issues,1213
341,Predictable from Observable State,Cryptography and Key Management,Random Number Management,Random Number Issues,1213
342,Predictable Exact Value from Previous Values,Cryptography and Key Management,Random Number Management,Random Number Issues,1213
343,Predictable Value Range from Previous Values,Cryptography and Key Management,Random Number Management,Random Number Issues,1213
344,Use of Invariant Value in Dynamically Changing Context,Concurrency and Resource Management,State Management,State Issues,371
346,Origin Validation Error,Security and Access Control,Authentication,Authentication Errors,1211
347,Improper Verification of Cryptographic Signature,Cryptography and Key Management,Cryptographic Handling,Cryptographic Issues,310
348,Use of Less Trusted Source,Security and Access Control,Authentication,Authentication Errors,1211
349,Acceptance of Extraneous Untrusted Data With Trusted Data,Data Management and Integrity,Data Processing,Data Processing Errors,19
351,Insufficient Type Distinction,API and Functionality Management,Type Handling,Type Errors,136
353,Missing Support for Integrity Check,Cryptography and Key Management,Cryptographic Handling,Cryptographic Issues,310
354,Improper Validation of Integrity Check Value,Cryptography and Key Management,Cryptographic Handling,Cryptographic Issues,310
356,Product UI does not Warn User of Unsafe Actions,Security and Access Control,User Interface Security,User Interface Security Issues,355
358,Improperly Implemented Security Check for Standard,Security and Access Control,Authorization,Authorization Errors,1212
359,Exposure of Private Personal Information to an Unauthorized Actor,Security and Access Control,Sensitive Information Management,Information Management Errors,199
360,Trust of System Event Data,Security and Access Control,Authorization,Authorization Errors,1212
364,Signal Handler Race Condition,Communication and Networking,Signal Handling,Signal Errors,387
366,Race Condition within a Thread,Concurrency and Resource Management,MultiThreading/Concurrency,Concurrency Issues,557
367,Time-of-check Time-of-use (TOCTOU) Race Condition,Concurrency and Resource Management,MultiThreading/Concurrency,Concurrency Issues,557
368,Context Switching Race Condition,Concurrency and Resource Management,MultiThreading/Concurrency,Concurrency Issues,557
369,Divide By Zero,Numeric and Mathematical Handling,Arithmetic Operations,Numeric Errors,189
372,Incomplete Internal State Distinction,Concurrency and Resource Management,State Management,State Issues,371
374,Passing Mutable Objects to an Untrusted Method,Security and Access Control,Authorization,Authorization Errors,1212
